"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 09:52:52 GMT 2023","Wed Feb 08 09:53:00 GMT 2023","8045","chromium","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Wed Feb 08 09:53:04 GMT 2023","Wed Feb 08 09:53:08 GMT 2023","3970","chromium","login.spec.js","login tests","","","login with wrong user name",""
"failed","Wed Feb 08 09:53:40 GMT 2023","Wed Feb 08 09:53:45 GMT 2023","4257","chromium","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Wed Feb 08 09:53:14 GMT 2023","Wed Feb 08 09:53:26 GMT 2023","11377","chromium","order.spec.js","place order tests","","","placing order",""
"passed","Wed Feb 08 09:52:43 GMT 2023","Wed Feb 08 09:52:47 GMT 2023","3716","chromium","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Wed Feb 08 09:52:47 GMT 2023","Wed Feb 08 09:52:52 GMT 2023","5115","chromium","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Wed Feb 08 09:53:08 GMT 2023","Wed Feb 08 09:53:10 GMT 2023","1852","chromium","login.spec.js","login tests","","","login with wrong password",""
"passed","Wed Feb 08 09:53:10 GMT 2023","Wed Feb 08 09:53:14 GMT 2023","3927","chromium","login.spec.js","login tests","","","can successfully login into account",""
"passed","Wed Feb 08 09:53:26 GMT 2023","Wed Feb 08 09:53:27 GMT 2023","1802","chromium","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Wed Feb 08 09:53:45 GMT 2023","Wed Feb 08 09:53:47 GMT 2023","1951","chromium","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Wed Feb 08 09:53:02 GMT 2023","Wed Feb 08 09:53:04 GMT 2023","2114","chromium","contact.spec.js","Send message","","","Send message with filled user info",""
"failed","Wed Feb 08 09:52:39 GMT 2023","Wed Feb 08 09:52:43 GMT 2023","3508","chromium","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Wed Feb 08 09:53:47 GMT 2023","Wed Feb 08 09:53:49 GMT 2023","1714","chromium","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Wed Feb 08 09:53:27 GMT 2023","Wed Feb 08 09:53:30 GMT 2023","2862","chromium","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Wed Feb 08 09:53:00 GMT 2023","Wed Feb 08 09:53:02 GMT 2023","2114","chromium","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Wed Feb 08 09:53:49 GMT 2023","Wed Feb 08 09:53:51 GMT 2023","1901","chromium","signIn.spec.js","sign in tests","","","sign in with existing user",""
