"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 15:50:24 GMT 2023","Tue Feb 07 15:50:27 GMT 2023","3109","firefox","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Tue Feb 07 15:49:51 GMT 2023","Tue Feb 07 15:49:53 GMT 2023","1830","chromium","signIn.spec.js","sign in tests","","","sign in with existing user",""
"skipped","Tue Feb 07 15:50:48 GMT 2023","Tue Feb 07 15:50:48 GMT 2023","0","firefox","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 15:50:53 GMT 2023","Tue Feb 07 15:50:58 GMT 2023","4346","firefox","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Tue Feb 07 15:50:21 GMT 2023","Tue Feb 07 15:50:24 GMT 2023","2816","firefox","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 15:49:07 GMT 2023","Tue Feb 07 15:49:11 GMT 2023","3939","chromium","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Tue Feb 07 15:49:44 GMT 2023","Tue Feb 07 15:49:48 GMT 2023","3868","chromium","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Tue Feb 07 15:49:25 GMT 2023","Tue Feb 07 15:49:27 GMT 2023","2068","chromium","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 15:49:27 GMT 2023","Tue Feb 07 15:49:30 GMT 2023","2042","chromium","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Tue Feb 07 15:50:27 GMT 2023","Tue Feb 07 15:50:30 GMT 2023","2589","firefox","login.spec.js","login tests","","","login with wrong user name",""
"passed","Tue Feb 07 15:50:48 GMT 2023","Tue Feb 07 15:50:53 GMT 2023","5027","firefox","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Tue Feb 07 15:51:00 GMT 2023","Tue Feb 07 15:51:03 GMT 2023","2606","firefox","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Tue Feb 07 15:51:03 GMT 2023","Tue Feb 07 15:51:05 GMT 2023","2580","firefox","signIn.spec.js","sign in tests","","","sign in with existing user",""
"failed","Tue Feb 07 15:49:03 GMT 2023","Tue Feb 07 15:49:06 GMT 2023","3591","chromium","about.spec.js","about-us tests","","","about-video is presents",""
"skipped","Tue Feb 07 15:49:41 GMT 2023","Tue Feb 07 15:49:41 GMT 2023","0","chromium","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 15:49:31 GMT 2023","Tue Feb 07 15:49:33 GMT 2023","1885","chromium","login.spec.js","login tests","","","login with wrong password",""
"passed","Tue Feb 07 15:50:30 GMT 2023","Tue Feb 07 15:50:32 GMT 2023","2549","firefox","login.spec.js","login tests","","","login with wrong password",""
"failed","Tue Feb 07 15:49:40 GMT 2023","Tue Feb 07 15:49:41 GMT 2023","484","chromium","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 15:49:48 GMT 2023","Tue Feb 07 15:49:50 GMT 2023","1718","chromium","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Tue Feb 07 15:49:30 GMT 2023","Tue Feb 07 15:49:31 GMT 2023","1825","chromium","login.spec.js","login tests","","","login with wrong user name",""
"passed","Tue Feb 07 15:50:04 GMT 2023","Tue Feb 07 15:50:11 GMT 2023","6887","firefox","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 15:49:33 GMT 2023","Tue Feb 07 15:49:38 GMT 2023","4777","chromium","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 15:49:17 GMT 2023","Tue Feb 07 15:49:25 GMT 2023","8802","chromium","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Tue Feb 07 15:49:41 GMT 2023","Tue Feb 07 15:49:44 GMT 2023","3078","chromium","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"failed","Tue Feb 07 15:50:44 GMT 2023","Tue Feb 07 15:50:48 GMT 2023","3653","firefox","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 15:49:11 GMT 2023","Tue Feb 07 15:49:17 GMT 2023","5554","chromium","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 15:50:58 GMT 2023","Tue Feb 07 15:51:00 GMT 2023","2412","firefox","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Tue Feb 07 15:49:54 GMT 2023","Tue Feb 07 15:49:59 GMT 2023","5522","firefox","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Tue Feb 07 15:50:32 GMT 2023","Tue Feb 07 15:50:38 GMT 2023","5740","firefox","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 15:49:59 GMT 2023","Tue Feb 07 15:50:04 GMT 2023","4248","firefox","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Tue Feb 07 15:50:11 GMT 2023","Tue Feb 07 15:50:21 GMT 2023","10700","firefox","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Tue Feb 07 15:49:50 GMT 2023","Tue Feb 07 15:49:51 GMT 2023","1585","chromium","product.spec.js","product items tests","","","product price is the same in main and product pages",""
