"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 16:25:44 GMT 2023","Tue Feb 07 16:25:54 GMT 2023","9442","firefox","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Tue Feb 07 16:28:25 GMT 2023","Tue Feb 07 16:28:32 GMT 2023","6854","Mobile Safari","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 16:27:21 GMT 2023","Tue Feb 07 16:27:24 GMT 2023","3456","webkit","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 16:24:36 GMT 2023","Tue Feb 07 16:24:41 GMT 2023","5227","chromium","cart.spec.js","cart-tests","","","adding items to cart",""
"failed","Tue Feb 07 16:25:20 GMT 2023","Tue Feb 07 16:25:24 GMT 2023","3948","chromium","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"failed","Tue Feb 07 16:24:28 GMT 2023","Tue Feb 07 16:24:32 GMT 2023","3417","chromium","about.spec.js","about-us tests","","","about-video is presents",""
"failed","Tue Feb 07 16:25:07 GMT 2023","Tue Feb 07 16:25:07 GMT 2023","397","chromium","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 16:25:38 GMT 2023","Tue Feb 07 16:25:44 GMT 2023","6269","firefox","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 16:26:40 GMT 2023","Tue Feb 07 16:26:44 GMT 2023","3342","firefox","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"skipped","Tue Feb 07 16:26:17 GMT 2023","Tue Feb 07 16:26:17 GMT 2023","0","firefox","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 16:25:01 GMT 2023","Tue Feb 07 16:25:05 GMT 2023","4574","chromium","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 16:25:24 GMT 2023","Tue Feb 07 16:25:26 GMT 2023","1693","chromium","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"skipped","Tue Feb 07 16:27:43 GMT 2023","Tue Feb 07 16:27:43 GMT 2023","0","webkit","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 16:24:49 GMT 2023","Tue Feb 07 16:24:51 GMT 2023","1869","chromium","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 16:26:46 GMT 2023","Tue Feb 07 16:26:48 GMT 2023","2023","firefox","signIn.spec.js","sign in tests","","","sign in with existing user",""
"passed","Tue Feb 07 16:27:35 GMT 2023","Tue Feb 07 16:27:40 GMT 2023","5421","webkit","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 16:27:01 GMT 2023","Tue Feb 07 16:27:09 GMT 2023","8058","webkit","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 16:25:56 GMT 2023","Tue Feb 07 16:25:59 GMT 2023","2362","firefox","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Tue Feb 07 16:24:41 GMT 2023","Tue Feb 07 16:24:49 GMT 2023","8055","chromium","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Tue Feb 07 16:28:42 GMT 2023","Tue Feb 07 16:28:45 GMT 2023","2967","Mobile Safari","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 16:27:24 GMT 2023","Tue Feb 07 16:27:28 GMT 2023","3401","webkit","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Tue Feb 07 16:28:09 GMT 2023","Tue Feb 07 16:28:12 GMT 2023","3185","webkit","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"failed","Tue Feb 07 16:27:59 GMT 2023","Tue Feb 07 16:28:05 GMT 2023","5624","webkit","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"failed","Tue Feb 07 16:27:42 GMT 2023","Tue Feb 07 16:27:43 GMT 2023","756","webkit","order.spec.js","place order tests","","","placing order",""
