"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 16:54:36 GMT 2023","Tue Feb 07 16:54:41 GMT 2023","4574","firefox","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 16:54:25 GMT 2023","Tue Feb 07 16:54:28 GMT 2023","2943","firefox","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 16:55:24 GMT 2023","Tue Feb 07 16:55:29 GMT 2023","4514","firefox","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Tue Feb 07 16:54:56 GMT 2023","Tue Feb 07 16:54:59 GMT 2023","2759","firefox","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 16:54:33 GMT 2023","Tue Feb 07 16:54:36 GMT 2023","2625","firefox","login.spec.js","login tests","","","login with wrong password",""
"passed","Tue Feb 07 16:54:31 GMT 2023","Tue Feb 07 16:54:33 GMT 2023","2516","firefox","login.spec.js","login tests","","","login with wrong user name",""
"passed","Tue Feb 07 16:54:07 GMT 2023","Tue Feb 07 16:54:14 GMT 2023","7246","firefox","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 16:55:29 GMT 2023","Tue Feb 07 16:55:32 GMT 2023","2721","firefox","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"failed","Tue Feb 07 16:55:17 GMT 2023","Tue Feb 07 16:55:24 GMT 2023","6958","firefox","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Tue Feb 07 16:54:59 GMT 2023","Tue Feb 07 16:55:03 GMT 2023","3578","firefox","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Tue Feb 07 16:54:02 GMT 2023","Tue Feb 07 16:54:07 GMT 2023","4508","firefox","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Tue Feb 07 16:54:41 GMT 2023","Tue Feb 07 16:54:56 GMT 2023","15629","firefox","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 16:54:28 GMT 2023","Tue Feb 07 16:54:31 GMT 2023","3371","firefox","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Tue Feb 07 16:53:54 GMT 2023","Tue Feb 07 16:54:02 GMT 2023","8494","firefox","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Tue Feb 07 16:54:14 GMT 2023","Tue Feb 07 16:54:25 GMT 2023","10576","firefox","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Tue Feb 07 16:55:32 GMT 2023","Tue Feb 07 16:55:34 GMT 2023","2961","firefox","signIn.spec.js","sign in tests","","","sign in with existing user",""
