"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 16:44:07 GMT 2023","Tue Feb 07 16:44:11 GMT 2023","3873","webkit","login.spec.js","login tests","","","login with wrong password",""
"passed","Tue Feb 07 16:44:11 GMT 2023","Tue Feb 07 16:44:16 GMT 2023","5511","webkit","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 16:49:09 GMT 2023","Tue Feb 07 16:49:12 GMT 2023","2646","chromium","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Tue Feb 07 16:42:07 GMT 2023","Tue Feb 07 16:42:17 GMT 2023","9961","firefox","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Tue Feb 07 16:45:12 GMT 2023","Tue Feb 07 16:45:15 GMT 2023","3365","webkit","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"broken","Tue Feb 07 16:47:31 GMT 2023","Tue Feb 07 16:48:02 GMT 2023","31447","Mobile Safari","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"failed","Tue Feb 07 16:44:58 GMT 2023","Tue Feb 07 16:45:07 GMT 2023","9370","webkit","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Tue Feb 07 16:45:58 GMT 2023","Tue Feb 07 16:46:01 GMT 2023","3057","Mobile Safari","login.spec.js","login tests","","","login with wrong password",""
"passed","Tue Feb 07 16:43:15 GMT 2023","Tue Feb 07 16:43:18 GMT 2023","2346","firefox","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Tue Feb 07 16:44:03 GMT 2023","Tue Feb 07 16:44:07 GMT 2023","3761","webkit","login.spec.js","login tests","","","login with wrong user name",""
"passed","Tue Feb 07 16:49:29 GMT 2023","Tue Feb 07 16:49:31 GMT 2023","1680","chromium","signIn.spec.js","sign in tests","","","sign in with existing user",""
"passed","Tue Feb 07 16:45:19 GMT 2023","Tue Feb 07 16:45:24 GMT 2023","5041","Mobile Safari","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Tue Feb 07 16:43:11 GMT 2023","Tue Feb 07 16:43:15 GMT 2023","4043","firefox","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Tue Feb 07 16:48:31 GMT 2023","Tue Feb 07 16:48:37 GMT 2023","5274","chromium","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 16:45:36 GMT 2023","Tue Feb 07 16:45:47 GMT 2023","10917","Mobile Safari","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Tue Feb 07 16:43:35 GMT 2023","Tue Feb 07 16:43:44 GMT 2023","9406","webkit","cart.spec.js","cart-tests","","","adding items to cart",""
"failed","Tue Feb 07 16:43:04 GMT 2023","Tue Feb 07 16:43:11 GMT 2023","6663","firefox","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Tue Feb 07 16:49:26 GMT 2023","Tue Feb 07 16:49:28 GMT 2023","1696","chromium","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Tue Feb 07 16:45:08 GMT 2023","Tue Feb 07 16:45:12 GMT 2023","4131","webkit","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Tue Feb 07 16:41:57 GMT 2023","Tue Feb 07 16:42:01 GMT 2023","4230","firefox","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Tue Feb 07 16:46:19 GMT 2023","Tue Feb 07 16:46:23 GMT 2023","3330","Mobile Safari","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 16:46:01 GMT 2023","Tue Feb 07 16:46:06 GMT 2023","4937","Mobile Safari","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 16:48:07 GMT 2023","Tue Feb 07 16:48:10 GMT 2023","3046","Mobile Safari","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Tue Feb 07 16:41:51 GMT 2023","Tue Feb 07 16:41:57 GMT 2023","5630","firefox","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Tue Feb 07 16:45:24 GMT 2023","Tue Feb 07 16:45:29 GMT 2023","4657","Mobile Safari","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Tue Feb 07 16:44:37 GMT 2023","Tue Feb 07 16:44:44 GMT 2023","7617","webkit","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Tue Feb 07 16:42:20 GMT 2023","Tue Feb 07 16:42:23 GMT 2023","3012","firefox","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Tue Feb 07 16:48:49 GMT 2023","Tue Feb 07 16:48:50 GMT 2023","1473","chromium","login.spec.js","login tests","","","login with wrong user name",""
"passed","Tue Feb 07 16:42:17 GMT 2023","Tue Feb 07 16:42:20 GMT 2023","2720","firefox","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 16:42:45 GMT 2023","Tue Feb 07 16:42:47 GMT 2023","2655","firefox","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 16:46:06 GMT 2023","Tue Feb 07 16:46:19 GMT 2023","13427","Mobile Safari","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 16:43:29 GMT 2023","Tue Feb 07 16:43:35 GMT 2023","5656","webkit","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Tue Feb 07 16:48:03 GMT 2023","Tue Feb 07 16:48:07 GMT 2023","3887","Mobile Safari","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Tue Feb 07 16:42:23 GMT 2023","Tue Feb 07 16:42:25 GMT 2023","2325","firefox","login.spec.js","login tests","","","login with wrong user name",""
"passed","Tue Feb 07 16:43:55 GMT 2023","Tue Feb 07 16:43:59 GMT 2023","3716","webkit","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 16:42:25 GMT 2023","Tue Feb 07 16:42:28 GMT 2023","2363","firefox","login.spec.js","login tests","","","login with wrong password",""
"passed","Tue Feb 07 16:48:56 GMT 2023","Tue Feb 07 16:49:08 GMT 2023","11428","chromium","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 16:44:16 GMT 2023","Tue Feb 07 16:44:33 GMT 2023","16655","webkit","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 16:45:47 GMT 2023","Tue Feb 07 16:45:51 GMT 2023","3391","Mobile Safari","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 16:45:15 GMT 2023","Tue Feb 07 16:45:19 GMT 2023","3700","webkit","signIn.spec.js","sign in tests","","","sign in with existing user",""
"passed","Tue Feb 07 16:49:08 GMT 2023","Tue Feb 07 16:49:09 GMT 2023","1536","chromium","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 16:43:59 GMT 2023","Tue Feb 07 16:44:03 GMT 2023","4375","webkit","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Tue Feb 07 16:48:45 GMT 2023","Tue Feb 07 16:48:47 GMT 2023","1977","chromium","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 16:43:18 GMT 2023","Tue Feb 07 16:43:20 GMT 2023","2356","firefox","signIn.spec.js","sign in tests","","","sign in with existing user",""
"passed","Tue Feb 07 16:48:47 GMT 2023","Tue Feb 07 16:48:49 GMT 2023","1943","chromium","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Tue Feb 07 16:48:27 GMT 2023","Tue Feb 07 16:48:31 GMT 2023","3978","chromium","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Tue Feb 07 16:44:33 GMT 2023","Tue Feb 07 16:44:37 GMT 2023","3649","webkit","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 16:48:50 GMT 2023","Tue Feb 07 16:48:52 GMT 2023","1650","chromium","login.spec.js","login tests","","","login with wrong password",""
"passed","Tue Feb 07 16:45:54 GMT 2023","Tue Feb 07 16:45:58 GMT 2023","3235","Mobile Safari","login.spec.js","login tests","","","login with wrong user name",""
"passed","Tue Feb 07 16:49:28 GMT 2023","Tue Feb 07 16:49:29 GMT 2023","1406","chromium","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Tue Feb 07 16:42:32 GMT 2023","Tue Feb 07 16:42:45 GMT 2023","12311","firefox","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 16:45:29 GMT 2023","Tue Feb 07 16:45:36 GMT 2023","7291","Mobile Safari","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 16:48:10 GMT 2023","Tue Feb 07 16:48:13 GMT 2023","2902","Mobile Safari","signIn.spec.js","sign in tests","","","sign in with existing user",""
"passed","Tue Feb 07 16:48:52 GMT 2023","Tue Feb 07 16:48:56 GMT 2023","4479","chromium","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 16:45:51 GMT 2023","Tue Feb 07 16:45:54 GMT 2023","3722","Mobile Safari","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Tue Feb 07 16:46:23 GMT 2023","Tue Feb 07 16:46:27 GMT 2023","4301","Mobile Safari","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Tue Feb 07 16:43:44 GMT 2023","Tue Feb 07 16:43:55 GMT 2023","10946","webkit","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Tue Feb 07 16:48:37 GMT 2023","Tue Feb 07 16:48:45 GMT 2023","8095","chromium","cart.spec.js","cart-tests","","","deleting item from cart",""
