"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 10:26:22 GMT 2023","Tue Feb 07 10:26:26 GMT 2023","4225","firefox","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 10:26:06 GMT 2023","Tue Feb 07 10:26:15 GMT 2023","9191","firefox","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Tue Feb 07 10:26:15 GMT 2023","Tue Feb 07 10:26:18 GMT 2023","2294","firefox","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 10:26:40 GMT 2023","Tue Feb 07 10:26:43 GMT 2023","3369","firefox","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Tue Feb 07 10:26:18 GMT 2023","Tue Feb 07 10:26:20 GMT 2023","2021","firefox","login.spec.js","login tests","","","login with wrong user name",""
"passed","Tue Feb 07 10:26:20 GMT 2023","Tue Feb 07 10:26:22 GMT 2023","2107","firefox","login.spec.js","login tests","","","login with wrong password",""
"passed","Tue Feb 07 10:25:56 GMT 2023","Tue Feb 07 10:26:00 GMT 2023","3865","firefox","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Tue Feb 07 10:26:38 GMT 2023","Tue Feb 07 10:26:40 GMT 2023","1896","firefox","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 10:25:52 GMT 2023","Tue Feb 07 10:25:56 GMT 2023","4828","firefox","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Tue Feb 07 10:26:00 GMT 2023","Tue Feb 07 10:26:06 GMT 2023","5889","firefox","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 10:26:47 GMT 2023","Tue Feb 07 10:26:49 GMT 2023","2048","firefox","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Tue Feb 07 10:26:43 GMT 2023","Tue Feb 07 10:26:47 GMT 2023","4238","firefox","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Tue Feb 07 10:26:26 GMT 2023","Tue Feb 07 10:26:38 GMT 2023","11888","firefox","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 10:26:49 GMT 2023","Tue Feb 07 10:26:51 GMT 2023","2029","firefox","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Tue Feb 07 10:26:51 GMT 2023","Tue Feb 07 10:26:54 GMT 2023","2152","firefox","signIn.spec.js","sign in tests","","","sign in with existing user",""
