"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 08:21:06 GMT 2023","Wed Feb 08 08:21:17 GMT 2023","10855","chromium","order.spec.js","place order tests","","","placing order",""
"passed","Wed Feb 08 08:21:00 GMT 2023","Wed Feb 08 08:21:02 GMT 2023","1500","chromium","login.spec.js","login tests","","","login with wrong password",""
"passed","Wed Feb 08 08:21:17 GMT 2023","Wed Feb 08 08:21:19 GMT 2023","1420","chromium","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Wed Feb 08 08:21:35 GMT 2023","Wed Feb 08 08:21:37 GMT 2023","1640","chromium","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Wed Feb 08 08:21:37 GMT 2023","Wed Feb 08 08:21:38 GMT 2023","1316","chromium","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Wed Feb 08 08:21:02 GMT 2023","Wed Feb 08 08:21:06 GMT 2023","4478","chromium","login.spec.js","login tests","","","can successfully login into account",""
"failed","Wed Feb 08 08:20:34 GMT 2023","Wed Feb 08 08:20:37 GMT 2023","3413","chromium","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Wed Feb 08 08:20:55 GMT 2023","Wed Feb 08 08:20:57 GMT 2023","1972","chromium","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Wed Feb 08 08:21:19 GMT 2023","Wed Feb 08 08:21:21 GMT 2023","2602","chromium","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Wed Feb 08 08:20:38 GMT 2023","Wed Feb 08 08:20:42 GMT 2023","3774","chromium","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Wed Feb 08 08:21:38 GMT 2023","Wed Feb 08 08:21:40 GMT 2023","1518","chromium","signIn.spec.js","sign in tests","","","sign in with existing user",""
"passed","Wed Feb 08 08:20:59 GMT 2023","Wed Feb 08 08:21:00 GMT 2023","1304","chromium","login.spec.js","login tests","","","login with wrong user name",""
"passed","Wed Feb 08 08:20:42 GMT 2023","Wed Feb 08 08:20:47 GMT 2023","5551","chromium","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Wed Feb 08 08:20:47 GMT 2023","Wed Feb 08 08:20:55 GMT 2023","8263","chromium","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Wed Feb 08 08:20:57 GMT 2023","Wed Feb 08 08:20:59 GMT 2023","1790","chromium","contact.spec.js","Send message","","","Send message with filled user info",""
"failed","Wed Feb 08 08:21:30 GMT 2023","Wed Feb 08 08:21:35 GMT 2023","4058","chromium","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
