"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 10:32:07 GMT 2023","Tue Feb 07 10:32:09 GMT 2023","1705","chromium","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Tue Feb 07 10:31:45 GMT 2023","Tue Feb 07 10:31:57 GMT 2023","11534","chromium","order.spec.js","place order tests","","","placing order",""
"passed","Tue Feb 07 10:31:57 GMT 2023","Tue Feb 07 10:31:58 GMT 2023","1886","chromium","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Tue Feb 07 10:32:05 GMT 2023","Tue Feb 07 10:32:07 GMT 2023","1672","chromium","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"failed","Tue Feb 07 10:31:12 GMT 2023","Tue Feb 07 10:31:16 GMT 2023","3717","chromium","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Tue Feb 07 10:31:17 GMT 2023","Tue Feb 07 10:31:21 GMT 2023","4062","chromium","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Tue Feb 07 10:32:01 GMT 2023","Tue Feb 07 10:32:05 GMT 2023","3979","chromium","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Tue Feb 07 10:31:35 GMT 2023","Tue Feb 07 10:31:37 GMT 2023","2166","chromium","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Tue Feb 07 10:31:58 GMT 2023","Tue Feb 07 10:32:01 GMT 2023","2827","chromium","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Tue Feb 07 10:31:21 GMT 2023","Tue Feb 07 10:31:26 GMT 2023","5776","chromium","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Tue Feb 07 10:31:41 GMT 2023","Tue Feb 07 10:31:45 GMT 2023","3828","chromium","login.spec.js","login tests","","","can successfully login into account",""
"passed","Tue Feb 07 10:31:37 GMT 2023","Tue Feb 07 10:31:39 GMT 2023","1857","chromium","login.spec.js","login tests","","","login with wrong user name",""
"passed","Tue Feb 07 10:31:39 GMT 2023","Tue Feb 07 10:31:41 GMT 2023","1795","chromium","login.spec.js","login tests","","","login with wrong password",""
"passed","Tue Feb 07 10:32:09 GMT 2023","Tue Feb 07 10:32:10 GMT 2023","1889","chromium","signIn.spec.js","sign in tests","","","sign in with existing user",""
"passed","Tue Feb 07 10:31:26 GMT 2023","Tue Feb 07 10:31:35 GMT 2023","8899","chromium","cart.spec.js","cart-tests","","","deleting item from cart",""
