"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 10:05:04 GMT 2023","Wed Feb 08 10:05:06 GMT 2023","2006","firefox","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Wed Feb 08 10:04:18 GMT 2023","Wed Feb 08 10:04:20 GMT 2023","2039","firefox","login.spec.js","login tests","","","login with wrong password",""
"passed","Wed Feb 08 10:04:38 GMT 2023","Wed Feb 08 10:04:41 GMT 2023","3185","firefox","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Wed Feb 08 10:04:01 GMT 2023","Wed Feb 08 10:04:11 GMT 2023","9306","firefox","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Wed Feb 08 10:05:00 GMT 2023","Wed Feb 08 10:05:04 GMT 2023","3423","firefox","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Wed Feb 08 10:04:20 GMT 2023","Wed Feb 08 10:04:24 GMT 2023","4216","firefox","login.spec.js","login tests","","","can successfully login into account",""
"passed","Wed Feb 08 10:03:46 GMT 2023","Wed Feb 08 10:03:52 GMT 2023","5444","firefox","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Wed Feb 08 10:04:36 GMT 2023","Wed Feb 08 10:04:38 GMT 2023","2269","firefox","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Wed Feb 08 10:04:11 GMT 2023","Wed Feb 08 10:04:13 GMT 2023","2434","firefox","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"failed","Wed Feb 08 10:04:54 GMT 2023","Wed Feb 08 10:05:00 GMT 2023","5955","firefox","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Wed Feb 08 10:03:56 GMT 2023","Wed Feb 08 10:04:01 GMT 2023","5913","firefox","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Wed Feb 08 10:04:24 GMT 2023","Wed Feb 08 10:04:36 GMT 2023","11782","firefox","order.spec.js","place order tests","","","placing order",""
"passed","Wed Feb 08 10:04:16 GMT 2023","Wed Feb 08 10:04:18 GMT 2023","2049","firefox","login.spec.js","login tests","","","login with wrong user name",""
"passed","Wed Feb 08 10:03:52 GMT 2023","Wed Feb 08 10:03:56 GMT 2023","3803","firefox","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Wed Feb 08 10:04:13 GMT 2023","Wed Feb 08 10:04:16 GMT 2023","2565","firefox","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Wed Feb 08 10:05:06 GMT 2023","Wed Feb 08 10:05:08 GMT 2023","2085","firefox","signIn.spec.js","sign in tests","","","sign in with existing user",""
