"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 08:01:05 GMT 2023","Wed Feb 08 08:01:08 GMT 2023","2559","firefox","login.spec.js","login tests","","","login with wrong user name",""
"passed","Wed Feb 08 08:01:08 GMT 2023","Wed Feb 08 08:01:11 GMT 2023","2660","firefox","login.spec.js","login tests","","","login with wrong password",""
"passed","Wed Feb 08 08:00:49 GMT 2023","Wed Feb 08 08:00:59 GMT 2023","10305","firefox","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Wed Feb 08 08:01:59 GMT 2023","Wed Feb 08 08:02:03 GMT 2023","4336","firefox","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Wed Feb 08 08:00:37 GMT 2023","Wed Feb 08 08:00:41 GMT 2023","4206","firefox","about.spec.js","about-us tests","","","about-us pop-up is closable",""
"passed","Wed Feb 08 08:01:33 GMT 2023","Wed Feb 08 08:01:36 GMT 2023","3404","firefox","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"failed","Wed Feb 08 08:01:51 GMT 2023","Wed Feb 08 08:01:58 GMT 2023","7249","firefox","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Wed Feb 08 08:00:41 GMT 2023","Wed Feb 08 08:00:49 GMT 2023","7862","firefox","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Wed Feb 08 08:01:17 GMT 2023","Wed Feb 08 08:01:30 GMT 2023","13543","firefox","order.spec.js","place order tests","","","placing order",""
"passed","Wed Feb 08 08:00:29 GMT 2023","Wed Feb 08 08:00:37 GMT 2023","7619","firefox","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Wed Feb 08 08:01:30 GMT 2023","Wed Feb 08 08:01:33 GMT 2023","2644","firefox","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Wed Feb 08 08:01:11 GMT 2023","Wed Feb 08 08:01:17 GMT 2023","6094","firefox","login.spec.js","login tests","","","can successfully login into account",""
"passed","Wed Feb 08 08:02:05 GMT 2023","Wed Feb 08 08:02:08 GMT 2023","2457","firefox","signIn.spec.js","sign in tests","","","sign in with existing user",""
"passed","Wed Feb 08 08:01:02 GMT 2023","Wed Feb 08 08:01:05 GMT 2023","3240","firefox","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Wed Feb 08 08:00:59 GMT 2023","Wed Feb 08 08:01:02 GMT 2023","2894","firefox","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Wed Feb 08 08:02:03 GMT 2023","Wed Feb 08 08:02:05 GMT 2023","2503","firefox","product.spec.js","product items tests","","","product price is the same in main and product pages",""
